time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,timestamp
1744086300000000,80122.02,80253.58,80092.34,80224.19,15.73588,1744086599999999,1261326.6600836,1023,4.36797,350249.4314179,0,2025-04-08 04:25:00
1744086600000000,80229.59,80243.93,80047.91,80156.0,20.5423,1744086899999999,1645874.9026958,830,6.89965,552866.7966723,0,2025-04-08 04:30:00
1744086900000000,80155.99,80318.44,80115.2,80318.44,9.47511,1744087199999999,760079.887172,790,5.72233,459103.8097359,0,2025-04-08 04:35:00
1744087200000000,80318.44,80388.0,80263.11,80270.02,9.99563,1744087499999999,802789.01973,920,6.30821,506634.6022149,0,2025-04-08 04:40:00
1744087500000000,80270.01,80302.0,80087.54,80245.9,15.21463,1744087799999999,1219701.6058713,1092,8.91408,714654.8789266,0,2025-04-08 04:45:00
1744087800000000,80239.95,80248.0,80178.01,80226.01,13.07036,1744088099999999,1048503.116717,608,6.31582,506628.4518246,0,2025-04-08 04:50:00
1744088100000000,80230.0,80321.78,80210.01,80279.07,9.32751,1744088399999999,748757.3283133,647,6.32539,507719.154903,0,2025-04-08 04:55:00
1744088400000000,80279.06,80289.5,80036.01,80042.81,10.18934,1744088699999999,817005.9114516,945,4.71487,378135.4409835,0,2025-04-08 05:00:00
1744088700000000,80042.81,80047.3,79788.01,79841.99,18.57303,1744088999999999,1484079.7878252,1763,3.93766,314602.5185271,0,2025-04-08 05:05:00
1744089000000000,79842.0,79856.0,79681.65,79788.02,13.51431,1744089299999999,1078215.3101087,1131,4.74942,378939.3498557,0,2025-04-08 05:10:00
1744089300000000,79788.01,79835.99,79628.07,79672.01,18.24873,1744089599999999,1454781.8186951,1169,7.22202,575708.1383772,0,2025-04-08 05:15:00
1744089600000000,79672.03,79768.0,79532.43,79593.8,26.59705,1744089899999999,2118248.7999416,1720,10.54593,840005.3510515,0,2025-04-08 05:20:00
1744089900000000,79593.79,79628.99,79511.86,79574.13,21.87227,1744090199999999,1740275.8064502,948,12.40996,987266.1405324,0,2025-04-08 05:25:00
1744090200000000,79576.2,79685.98,79554.01,79588.46,12.59153,1744090499999999,1002488.1904231,1038,6.71833,534875.6666426,0,2025-04-08 05:30:00
1744090500000000,79588.02,79784.36,79586.02,79773.98,12.7719,1744090799999999,1018135.1610292,802,9.83573,784071.9901797,0,2025-04-08 05:35:00
1744090800000000,79771.98,79812.49,79632.0,79662.13,10.44619,1744091099999999,832538.983253,788,6.29694,501817.7648086,0,2025-04-08 05:40:00
1744091100000000,79660.01,79708.0,79632.0,79699.99,9.46729,1744091399999999,754278.5336552,722,3.29749,262721.0227832,0,2025-04-08 05:45:00
1744091400000000,79699.98,79845.99,79684.01,79820.0,8.7516,1744091699999999,698020.9661427,854,5.11028,407620.5946778,0,2025-04-08 05:50:00
1744091700000000,79816.56,79853.99,79764.0,79848.0,9.40236,1744091999999999,750450.360599,741,5.34636,426749.1257245,0,2025-04-08 05:55:00
1744092000000000,79842.15,79842.15,79588.46,79635.99,16.91267,1744092299999999,1347818.7175877,1136,7.02243,559391.815968,0,2025-04-08 06:00:00
1744092300000000,79636.0,79727.96,79528.0,79555.89,28.69539,1744092599999999,2284007.061746,1573,13.98039,1112808.1674722,0,2025-04-08 06:05:00
1744092600000000,79549.36,79605.99,79431.85,79458.02,74.63102,1744092899999999,5933832.060247,1903,54.54189,4336420.5490778,0,2025-04-08 06:10:00
1744092900000000,79458.01,79503.99,79370.0,79442.31,15.91755,1744093199999999,1264454.4377098,1121,6.29369,499949.4417044,0,2025-04-08 06:15:00
1744093200000000,79442.3,79473.99,79342.66,79385.98,11.81435,1744093499999999,938108.6048524,824,3.73871,296852.1599928,0,2025-04-08 06:20:00
1744093500000000,79378.22,79436.58,79338.95,79377.64,6.34412,1744093799999999,503594.0092897,544,2.19462,174180.8224105,0,2025-04-08 06:25:00
1744093800000000,79375.98,79436.49,79341.15,79350.21,7.31719,1744094099999999,580957.8366832,721,3.39076,269215.3816445,0,2025-04-08 06:30:00
1744094100000000,79351.98,79377.99,79258.25,79376.0,14.94552,1744094399999999,1185530.189648,1261,6.13347,486567.6828015,0,2025-04-08 06:35:00
1744094400000000,79376.0,79520.0,79358.01,79513.98,13.29513,1744094699999999,1056452.9324762,757,6.48433,515219.5867714,0,2025-04-08 06:40:00
1744094700000000,79513.97,79544.0,79384.01,79420.94,17.85087,1744094999999999,1418156.1008747,781,7.70081,611733.2377191,0,2025-04-08 06:45:00
1744095000000000,79426.58,79457.99,79356.94,79453.0,6.41807,1744095299999999,509716.5597732,555,3.10179,246332.3237994,0,2025-04-08 06:50:00
1744095300000000,79446.49,79467.99,79366.02,79422.21,15.92827,1744095599999999,1264922.083922,732,8.0864,642167.4338959,0,2025-04-08 06:55:00
1744095600000000,79426.12,79520.0,79320.77,79437.99,12.71825,1744095899999999,1010416.0953595,903,5.76217,457736.4236578,0,2025-04-08 07:00:00
